Seconds_of_Day,X_ECEF(m),Y_ECEF(m),Z_ECEF(m)
0.0,1337935.8735,6070318.1919,1427876.6377
30.0,1337937.1137,6070318.3956,1427876.7386
60.0,1337938.4912,6070319.6007,1427877.3161
90.0,1337938.863,6070319.9081,1427877.7865
120.0,1337938.7931,6070319.9796,1427878.0634
150.0,1337938.4977,6070319.6379,1427878.1289
180.0,1337938.1985,6070319.0524,1427878.0898
210.0,1337937.7737,6070318.7195,1427877.9049
240.0,1337936.9453,6070318.2263,1427877.5581
270.0,1337936.006,6070317.4807,1427877.3881
300.0,1337935.781,6070316.9378,1427877.3866
330.0,1337935.7809,6070316.8879,1427877.3659
360.0,1337935.7844,6070316.9094,1427877.3785
390.0,1337935.8084,6070316.8916,1427877.3739
420.0,1337935.8352,6070316.8903,1427877.3792
450.0,1337935.8807,6070316.877,1427877.3816
480.0,1337935.9373,6070316.8716,1427877.3987
510.0,1337935.9672,6070316.8481,1427877.4057
540.0,1337935.9869,6070316.7745,1427877.4143
570.0,1337935.9067,6070316.6144,1427877.4128
600.0,1337935.678,6070316.5737,1427877.3073
630.0,1337935.658,6070316.5801,1427877.3287
660.0,1337935.6656,6070316.5812,1427877.3502
690.0,1337935.667,6070316.5924,1427877.3577
720.0,1337935.6726,6070316.5944,1427877.3554
750.0,1337935.684,6070316.589,1427877.3543
780.0,1337935.6836,6070316.5931,1427877.358
810.0,1337935.6759,6070316.6054,1427877.3633
840.0,1337935.6443,6070316.6346,1427877.3689
870.0,1337935.5458,6070316.7096,1427877.3775
900.0,1337935.4096,6070316.7996,1427877.3633
930.0,1337935.4062,6070316.7852,1427877.3631
960.0,1337935.4264,6070316.7851,1427877.3727
990.0,1337935.4389,6070316.7861,1427877.3767
1020.0,1337935.4415,6070316.7968,1427877.3818
1050.0,1337935.4403,6070316.7937,1427877.3802
1080.0,1337935.4379,6070316.795,1427877.3789
1110.0,1337935.4433,6070316.7955,1427877.3799
1140.0,1337935.4488,6070316.7861,1427877.3763
1170.0,1337935.4571,6070316.7655,1427877.3653
1200.0,1337935.4511,6070316.7502,1427877.328
1230.0,1337935.4458,6070316.7318,1427877.3144
1260.0,1337935.4475,6070316.7296,1427877.312
1290.0,1337935.4497,6070316.728,1427877.3118
1320.0,1337935.4486,6070316.7267,1427877.3105
1350.0,1337935.45,6070316.7259,1427877.3093
1380.0,1337935.4521,6070316.7256,1427877.3085
1410.0,1337935.4505,6070316.7196,1427877.3052
1440.0,1337935.4443,6070316.7195,1427877.3027
1470.0,1337935.4366,6070316.7233,1427877.3008
1500.0,1337935.4243,6070316.7512,1427877.2954
1530.0,1337935.4346,6070316.7603,1427877.3026
1560.0,1337935.4376,6070316.7792,1427877.3094
1590.0,1337935.4388,6070316.7893,1427877.3132
1620.0,1337935.4385,6070316.7914,1427877.3141
1650.0,1337935.4408,6070316.7968,1427877.3166
1680.0,1337935.4422,6070316.7992,1427877.3181
1710.0,1337935.4381,6070316.787,1427877.3145
1740.0,1337935.4318,6070316.7871,1427877.3151
1770.0,1337935.3981,6070316.7741,1427877.3051
1800.0,1337935.3409,6070316.7797,1427877.2992
1830.0,1337935.3262,6070316.7606,1427877.2913
1860.0,1337935.3194,6070316.7491,1427877.2865
1890.0,1337935.3177,6070316.7473,1427877.2854
1920.0,1337935.3176,6070316.749,1427877.2861
1950.0,1337935.3172,6070316.7497,1427877.2863
1980.0,1337935.3167,6070316.7519,1427877.2871
2010.0,1337935.3163,6070316.7629,1427877.2904
2040.0,1337935.3142,6070316.7829,1427877.2953
2070.0,1337935.3095,6070316.7713,1427877.2954
2100.0,1337935.3056,6070316.8045,1427877.3089
2130.0,1337935.3086,6070316.8385,1427877.3174
2160.0,1337935.3098,6070316.8469,1427877.3196
2190.0,1337935.3097,6070316.8478,1427877.3201
2220.0,1337935.3107,6070316.8495,1427877.321
2250.0,1337935.311,6070316.8486,1427877.3209
2280.0,1337935.3118,6070316.8468,1427877.3206
2310.0,1337935.3118,6070316.8425,1427877.3195
2340.0,1337935.3119,6070316.8398,1427877.3194
2370.0,1337935.3136,6070316.8588,1427877.3265
2400.0,1337935.3207,6070316.9182,1427877.3459
2430.0,1337935.3223,6070316.9228,1427877.3483
2460.0,1337935.3232,6070316.9243,1427877.3487
2490.0,1337935.3253,6070316.9303,1427877.3509
2520.0,1337935.328,6070316.9358,1427877.3532
2550.0,1337935.3311,6070316.9418,1427877.3558
2580.0,1337935.3355,6070316.9516,1427877.3603
2610.0,1337935.3408,6070316.9649,1427877.3666
2640.0,1337935.3502,6070316.9892,1427877.3783
2670.0,1337935.3542,6070317.0017,1427877.3878
2700.0,1337935.3702,6070317.0477,1427877.408
2730.0,1337935.3789,6070317.0678,1427877.4169
2760.0,1337935.3848,6070317.0807,1427877.4218
2790.0,1337935.3878,6070317.0875,1427877.4244
2820.0,1337935.3881,6070317.0876,1427877.4245
2850.0,1337935.3888,6070317.0884,1427877.425
2880.0,1337935.3939,6070317.0942,1427877.4281
2910.0,1337935.398,6070317.1002,1427877.4309
2940.0,1337935.4044,6070317.1131,1427877.436
2970.0,1337935.4278,6070317.1584,1427877.4557
3000.0,1337935.4639,6070317.2335,1427877.4863
3030.0,1337935.4793,6070317.2608,1427877.4981
3060.0,1337935.4858,6070317.2711,1427877.5026
3090.0,1337935.4883,6070317.274,1427877.5038
3120.0,1337935.4894,6070317.2745,1427877.504
3150.0,1337935.4905,6070317.2754,1427877.5044
3180.0,1337935.4931,6070317.2802,1427877.5063
3210.0,1337935.4974,6070317.2887,1427877.5095
3240.0,1337935.4974,6070317.2897,1427877.5095
3270.0,1337935.4953,6070317.2877,1427877.5086
3300.0,1337935.4823,6070317.2685,1427877.4988
3330.0,1337935.474,6070317.2606,1427877.4936
3360.0,1337935.4658,6070317.2462,1427877.487
3390.0,1337935.4629,6070317.2422,1427877.485
3420.0,1337935.4604,6070317.2386,1427877.4833
3450.0,1337935.4592,6070317.2366,1427877.4825
3480.0,1337935.4571,6070317.2331,1427877.4811
3510.0,1337935.4529,6070317.2262,1427877.4783
3540.0,1337935.4461,6070317.2132,1427877.4737
3570.0,1337935.4361,6070317.1953,1427877.4666
3600.0,1337935.4382,6070317.1879,1427877.4639
3630.0,1337935.44,6070317.1859,1427877.4643
3660.0,1337935.44,6070317.184,1427877.4639
3690.0,1337935.4403,6070317.184,1427877.4639
3720.0,1337935.4399,6070317.1834,1427877.4637
3750.0,1337935.4398,6070317.1834,1427877.4636
3780.0,1337935.4397,6070317.1836,1427877.4636
3810.0,1337935.4398,6070317.1839,1427877.4636
3840.0,1337935.4426,6070317.1872,1427877.4651
3870.0,1337935.4462,6070317.1886,1427877.4677
3900.0,1337935.4531,6070317.1962,1427877.4727
3930.0,1337935.4567,6070317.2004,1427877.4751
3960.0,1337935.459,6070317.2038,1427877.4763
3990.0,1337935.4623,6070317.2073,1427877.4779
4020.0,1337935.4633,6070317.2083,1427877.4785
4050.0,1337935.4643,6070317.2093,1427877.479
