SOD,HHMMSS,X,Y,Z,Computed_X,Computed_Y,Computed_Z,X_glab_cm,Y_glab_cm,Z_glab_cm,X_python_cm,Y_python_cm,Z_python_cm,dX_cm,dY_cm,dZ_cm,3D_cm
210.0,00:03:30,1337935.7465,6070319.1668,1427878.472,1337935.5177,6070317.0364,1427877.5166,21.360797062516212,203.55059169232845,96.24868775717914,-1.4209989458322525,-6.501489784568548,3.0555760487914085,-22.87999999243766,-213.0400000140071,-95.54000000935048,234.60057034757776
240.0,00:04:00,1337935.3217,6070318.6533,1427878.0406,1337935.5177,6070317.0364,1427877.5166,-21.11920292954892,152.20059175044298,53.108687745407224,-1.4209989458322525,-6.501489784568548,3.0555760487914085,19.59999999962747,-161.69000007212162,-52.39999999757856,171.09522530758807
270.0,00:04:30,1337935.075,6070318.1051,1427877.7654,1337935.5177,6070317.0364,1427877.5166,-45.78920293133706,97.38059174269438,25.58868774212897,-1.4209989458322525,-6.501489784568548,3.0555760487914085,44.27000000141561,-106.87000006437302,-24.879999994300306,118.32178249840901
300.0,00:05:00,1337934.8291,6070318.1111,1427877.9959,1337935.5177,6070317.0364,1427877.5166,-70.3792029293254,97.98059174790978,48.63868774846196,-1.4209989458322525,-6.501489784568548,3.0555760487914085,68.85999999940395,-107.47000006958842,-47.9300000006333,136.34069610698032
330.0,00:05:30,1337934.9975,6070317.8757,1427878.0133,1337935.5177,6070317.0364,1427877.5166,-53.53920292109251,74.44059168919921,50.3786877496168,-1.4209989458322525,-6.501489784568548,3.0555760487914085,52.01999999117106,-83.93000001087785,-49.67000000178814,110.53250291694759
360.0,00:06:00,1337934.815,6070317.854,1427878.0315,1337935.5177,6070317.0364,1427877.5166,-71.78920293226838,72.27059174329042,52.19868775457144,-1.4209989458322525,-6.501489784568548,3.0555760487914085,70.27000000234693,-81.76000006496906,-51.490000006742775,119.4729702135506
390.0,00:06:30,1337934.925,6070317.7259,1427878.0211,1337935.5177,6070317.0364,1427877.5166,-60.78920292202383,59.460591711103916,51.15868775174022,-1.4209989458322525,-6.501489784568548,3.0555760487914085,59.269999992102385,-68.95000003278255,-50.450000003911555,103.98191142684004
420.0,00:07:00,1337934.913,6070317.7819,1427878.0227,1337935.5177,6070317.0364,1427877.5166,-61.989202932454646,65.06059169769287,51.31868775933981,-1.4209989458322525,-6.501489784568548,3.0555760487914085,60.4700000025332,-74.55000001937151,-50.61000001151115,108.5158767386589
450.0,00:07:30,1337935.0039,6070317.8126,1427878.0111,1337935.5177,6070317.0364,1427877.5166,-52.89920293726027,68.1305916979909,50.158687750808895,-1.4209989458322525,-6.501489784568548,3.0555760487914085,51.38000000733882,-77.62000001966953,-49.45000000298023,105.40432298583575
480.0,00:08:00,1337935.0145,6070317.6642,1427877.9563,1337935.5177,6070317.0364,1427877.5166,-51.83920292183757,53.29059176146984,44.67868774663657,-1.4209989458322525,-6.501489784568548,3.0555760487914085,50.31999999191612,-62.78000008314848,-43.96999999880791,91.68855822577716
510.0,00:08:30,1337935.021,6070317.6567,1427877.9354,1337935.5177,6070317.0364,1427877.5166,-51.18920293170959,52.54059173166752,42.58868775796145,-1.4209989458322525,-6.501489784568548,3.0555760487914085,49.67000000178814,-62.03000005334616,-41.88000001013279,89.82630020013337
